sent_id,item_id,verb,sentence_type,np_order,target,option,alt_option,prompt,alt_prompt,answer_option,answer,raw_probs
11,6,comfort,IC,high_sg,Bob comforted the leader of the activists who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Bob comforted the leader of the activists who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Bob comforted the leader of the activists who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.0002540681, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.0002540681), TopLogprob(token='2', bytes=[50], logprob=-8.278975), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.724226), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-19.03908), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-19.432638)])]"
12,6,greet,nonIC,high_sg,Bob greeted the leader of the activists who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Bob greeted the leader of the activists who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Bob greeted the leader of the activists who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.9361265e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.9361265e-07), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.558289), TopLogprob(token='2', bytes=[50], logprob=-16.818508), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.442959), TopLogprob(token=' ', bytes=[32], logprob=-18.595978)])]"
13,7,envy,IC,high_sg,Laura envies the manager of the cashiers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Laura envies the manager of the cashiers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Laura envies the manager of the cashiers who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.9361265e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.9361265e-07), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.592571), TopLogprob(token='2', bytes=[50], logprob=-16.693016), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.01144), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.864828)])]"
14,7,know,nonIC,high_sg,Laura knows the manager of the cashiers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Laura knows the manager of the cashiers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Laura knows the manager of the cashiers who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.18354675, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.18354675), TopLogprob(token='1', bytes=[49], logprob=-1.7856586), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-14.739676), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-18.53079), TopLogprob(token='(', bytes=[40], logprob=-18.709686)])]"
15,8,value,IC,high_sg,Zack valued the daughter of the shopkeepers who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Zack valued the daughter of the shopkeepers who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Zack valued the daughter of the shopkeepers who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-6.704273e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-6.704273e-07), TopLogprob(token='2', bytes=[50], logprob=-15.015933), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.62884), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-16.747856), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.362413)])]"
16,8,recognize,nonIC,high_sg,Zack recognized the daughter of the shopkeepers who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Zack recognized the daughter of the shopkeepers who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Zack recognized the daughter of the shopkeepers who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-1.2829201e-05, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-1.2829201e-05), TopLogprob(token='1', bytes=[49], logprob=-11.31795), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-14.7722845), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-16.38418), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-16.482475)])]"
17,9,fear,IC,high_sg,Sarah fears the uncle of the toddlers who ___ .,"1) is, 2) are","1) are, 2) is","Sentence: Sarah fears the uncle of the toddlers who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Sarah fears the uncle of the toddlers who ___ . Options: 1) are, 2) is. Answer: ","1) are, 2) is",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-5.5122365e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-5.5122365e-07), TopLogprob(token='2', bytes=[50], logprob=-14.731406), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.890668), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.22488), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.42405)])]"
18,9,jog,nonIC,high_sg,Sarah jogs with the uncle of the toddlers who ___ .,"1) is, 2) are","1) are, 2) is","Sentence: Sarah jogs with the uncle of the toddlers who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Sarah jogs with the uncle of the toddlers who ___ . Options: 1) are, 2) is. Answer: ","1) is, 2) are",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.011650243, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.011650243), TopLogprob(token='1', bytes=[49], logprob=-4.458288), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-14.76849), TopLogprob(token='(', bytes=[40], logprob=-18.298996), TopLogprob(token='Two', bytes=[84, 119, 111], logprob=-18.37648)])]"
19,10,notice,IC,high_sg,Adam noticed the representative of the employees who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Adam noticed the representative of the employees who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Adam noticed the representative of the employees who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.9361265e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.9361265e-07), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.562386), TopLogprob(token='2', bytes=[50], logprob=-16.848503), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.290802), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.370388)])]"
20,10,resemble,nonIC,high_sg,Adam resembled the representative of the employees who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Adam resembled the representative of the employees who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Adam resembled the representative of the employees who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-6.704273e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-6.704273e-07), TopLogprob(token='2', bytes=[50], logprob=-14.522534), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.868286), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.242794), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.604452)])]"
21,11,praise,IC,high_pl,Tina praised the gardeners of the millionaire who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Tina praised the gardeners of the millionaire who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Tina praised the gardeners of the millionaire who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.014310409, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.014310409), TopLogprob(token='1', bytes=[49], logprob=-4.2539306), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.597466), TopLogprob(token='(', bytes=[40], logprob=-19.572233), TopLogprob(token='Two', bytes=[84, 119, 111], logprob=-19.91922)])]"
22,11,meet,nonIC,high_pl,Tina met the gardeners of the millionaire who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Tina met the gardeners of the millionaire who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Tina met the gardeners of the millionaire who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.00019257364, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.00019257364), TopLogprob(token='1', bytes=[49], logprob=-8.557743), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-14.546005), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.17219), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.567217)])]"
23,12,hate,IC,high_pl,Justin hates the cousins of the accountant who ___ .,"1) is, 2) are","1) are, 2) is","Sentence: Justin hates the cousins of the accountant who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Justin hates the cousins of the accountant who ___ . Options: 1) are, 2) is. Answer: ","1) is, 2) are",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.0280384e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.0280384e-06), TopLogprob(token='2', bytes=[50], logprob=-14.085298), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.084374), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.980766), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.094408)])]"
24,12,carpool,nonIC,high_pl,Justin carpools with the cousins of the accountant who ___ .,"1) is, 2) are","1) are, 2) is","Sentence: Justin carpools with the cousins of the accountant who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Justin carpools with the cousins of the accountant who ___ . Options: 1) are, 2) is. Answer: ","1) are, 2) is",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0003799105, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0003799105), TopLogprob(token='1', bytes=[49], logprob=-7.877135), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-14.702547), TopLogprob(token='(', bytes=[40], logprob=-18.552856), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.663029)])]"
25,13,blame,IC,high_pl,Emily blamed the nieces of the florist who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Emily blamed the nieces of the florist who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Emily blamed the nieces of the florist who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.020925932, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.020925932), TopLogprob(token='1', bytes=[49], logprob=-3.8772187), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.867279), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-18.842644), TopLogprob(token='(', bytes=[40], logprob=-19.059912)])]"
26,13,wait,nonIC,high_pl,Emily waited with the nieces of the florist who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Emily waited with the nieces of the florist who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Emily waited with the nieces of the florist who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-2.4584822e-06, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-2.4584822e-06), TopLogprob(token='1', bytes=[49], logprob=-13.09583), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-14.862695), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-16.848654), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-16.935305)])]"
27,14,help,IC,high_pl,Joe helped the brothers of the athlete who ___ .,"1) is, 2) are","1) are, 2) is","Sentence: Joe helped the brothers of the athlete who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Joe helped the brothers of the athlete who ___ . Options: 1) are, 2) is. Answer: ","1) are, 2) is",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0001624188, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0001624188), TopLogprob(token='1', bytes=[49], logprob=-8.726255), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.803644), TopLogprob(token='(', bytes=[40], logprob=-19.048435), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-19.05812)])]"
28,14,run,nonIC,high_pl,Joe ran into the brothers of the athlete who ___ .,"1) is, 2) are","1) are, 2) is","Sentence: Joe ran into the brothers of the athlete who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Joe ran into the brothers of the athlete who ___ . Options: 1) are, 2) is. Answer: ","1) are, 2) is",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.00016659092, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.00016659092), TopLogprob(token='1', bytes=[49], logprob=-8.701617), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.219214), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.509277), TopLogprob(token='Two', bytes=[84, 119, 111], logprob=-19.089396)])]"
29,15,reproach,IC,high_pl,Jessica reproached the doctors of the supermodel who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jessica reproached the doctors of the supermodel who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jessica reproached the doctors of the supermodel who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-4.0961266e-05, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-4.0961266e-05), TopLogprob(token='2', bytes=[50], logprob=-10.104835), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.038935), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-19.047077), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-19.290018)])]"
30,15,work,nonIC,high_pl,Jessica worked with the doctors of the supermodel who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jessica worked with the doctors of the supermodel who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jessica worked with the doctors of the supermodel who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-9.014684e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-9.014684e-06), TopLogprob(token='2', bytes=[50], logprob=-11.632989), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.736156), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-19.063658), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-19.285992)])]"
31,16,pacify,IC,high_pl,Brian pacified the associates of the businessman who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Brian pacified the associates of the businessman who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Brian pacified the associates of the businessman who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-8.45898e-05, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-8.45898e-05), TopLogprob(token='2', bytes=[50], logprob=-9.380357), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.855256), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-19.212019), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-19.443508)])]"
32,16,visit,nonIC,high_pl,Brian visited the associates of the businessman who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Brian visited the associates of the businessman who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Brian visited the associates of the businessman who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-9.968313e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-9.968313e-06), TopLogprob(token='2', bytes=[50], logprob=-11.597914), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-14.157185), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.104206), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.545269)])]"
33,17,detest,IC,high_pl,Melissa detests the children of the musician who ___ .,"1) is, 2) are","1) are, 2) is","Sentence: Melissa detests the children of the musician who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Melissa detests the children of the musician who ___ . Options: 1) are, 2) is. Answer: ","1) is, 2) are",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=0.0, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=0.0), TopLogprob(token='2', bytes=[50], logprob=-16.876583), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.341877), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.717453), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.820309)])]"
34,17,babysit,nonIC,high_pl,Melissa babysits the children of the musician who ___ .,"1) is, 2) are","1) are, 2) is","Sentence: Melissa babysits the children of the musician who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Melissa babysits the children of the musician who ___ . Options: 1) are, 2) is. Answer: ","1) is, 2) are",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.9361265e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.9361265e-07), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.209572), TopLogprob(token='2', bytes=[50], logprob=-17.636877), TopLogprob(token=' ', bytes=[32], logprob=-17.960121), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.092762)])]"
35,18,thank,IC,high_pl,Frank thanked the servants of the dictator who ___ .,"1) is, 2) are","1) are, 2) is","Sentence: Frank thanked the servants of the dictator who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Frank thanked the servants of the dictator who ___ . Options: 1) are, 2) is. Answer: ","1) are, 2) is",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.3067608e-05, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.3067608e-05), TopLogprob(token='2', bytes=[50], logprob=-11.267782), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.414253), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.380785), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.305136)])]"
36,18,talk,nonIC,high_pl,Frank talked to the servants of the dictator who ___ .,"1) is, 2) are","1) are, 2) is","Sentence: Frank talked to the servants of the dictator who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Frank talked to the servants of the dictator who ___ . Options: 1) are, 2) is. Answer: ","1) are, 2) is",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.2113979e-05, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.2113979e-05), TopLogprob(token='2', bytes=[50], logprob=-11.342717), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.368356), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.55358), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.866842)])]"
