sent_id,item_id,verb,sentence_type,attachment,plurality,sentence,critical_token,critical_prob,logprob
14,4,stand,nonIC,high,sg,Nick stood near the captain of the sailors who has, has,-7.974687099456787,"[('Nick', -9.632013320922852), (' stood', -11.681760787963867), (' near', -4.897724151611328), (' the', -0.2549915313720703), (' captain', -9.014433860778809), (' of', -2.970888614654541), (' the', -0.23234353959560394), (' sailors', -9.775022506713867), (' who', -2.740600109100342), (' has', -7.974687099456787)]"
15,4,trust,IC,low,pl,Nick trusted the captain of the sailors who have, have,-5.2696123123168945,"[('Nick', -9.632013320922852), (' trusted', -14.268987655639648), (' the', -2.2127721309661865), (' captain', -7.057305335998535), (' of', -2.1435372829437256), (' the', -0.39836448431015015), (' sailors', -9.383899688720703), (' who', -3.1050524711608887), (' have', -5.2696123123168945)]"
16,4,stand,nonIC,low,pl,Nick stood near the captain of the sailors who have, have,-6.525193691253662,"[('Nick', -9.632013320922852), (' stood', -11.681760787963867), (' near', -4.897724151611328), (' the', -0.2549915313720703), (' captain', -9.014433860778809), (' of', -2.970888614654541), (' the', -0.23234353959560394), (' sailors', -9.775022506713867), (' who', -2.740600109100342), (' have', -6.525193691253662)]"
17,5,correct,IC,high,sg,Angela corrected the secretary of the lawyers who was, was,-3.762234687805176,"[('Ang', -9.166876792907715), ('ela', -1.8310261964797974), (' corrected', -13.09520149230957), (' the', -1.9465376138687134), (' secretary', -9.965989112854004), (' of', -2.2843432426452637), (' the', -1.3083469867706299), (' lawyers', -11.876786231994629), (' who', -4.084261417388916), (' was', -3.762234687805176)]"
18,5,gossip,nonIC,high,sg,Angela gossiped with the secretary of the lawyers who was, was,-3.563793897628784,"[('Ang', -9.166876792907715), ('ela', -1.8310261964797974), (' g', -10.353100776672363), ('oss', -3.5732595920562744), ('iped', -10.666479110717773), (' with', -1.7844239473342896), (' the', -2.396865129470825), (' secretary', -5.349841117858887), (' of', -1.8683791160583496), (' the', -1.0458844900131226), (' lawyers', -10.498205184936523), (' who', -4.101780414581299), (' was', -3.563793897628784)]"
19,5,correct,IC,low,pl,Angela corrected the secretary of the lawyers who were, were,-2.2432661056518555,"[('Ang', -9.166876792907715), ('ela', -1.8310261964797974), (' corrected', -13.09520149230957), (' the', -1.9465376138687134), (' secretary', -9.965989112854004), (' of', -2.2843432426452637), (' the', -1.3083469867706299), (' lawyers', -11.876786231994629), (' who', -4.084261417388916), (' were', -2.2432661056518555)]"
20,5,gossip,nonIC,low,pl,Angela gossiped with the secretary of the lawyers who were, were,-2.0334556102752686,"[('Ang', -9.166876792907715), ('ela', -1.8310261964797974), (' g', -10.353100776672363), ('oss', -3.5732595920562744), ('iped', -10.666479110717773), (' with', -1.7844239473342896), (' the', -2.396865129470825), (' secretary', -5.349841117858887), (' of', -1.8683791160583496), (' the', -1.0458844900131226), (' lawyers', -10.498205184936523), (' who', -4.101780414581299), (' were', -2.0334556102752686)]"
21,6,comfort,IC,high,sg,Bob comforted the leader of the activists who was, was,-4.9789533615112305,"[('Bob', -9.640697479248047), (' comfort', -14.217617988586426), ('ed', -3.267867088317871), (' the', -2.997069835662842), (' leader', -7.4725847244262695), (' of', -0.7370892763137817), (' the', -0.45739778876304626), (' activists', -10.637901306152344), (' who', -2.248408794403076), (' was', -4.9789533615112305)]"
22,6,greet,nonIC,high,sg,Bob greeted the leader of the activists who was, was,-5.194416046142578,"[('Bob', -9.640697479248047), (' greeted', -11.970911979675293), (' the', -2.3652729988098145), (' leader', -7.95933723449707), (' of', -0.40982896089553833), (' the', -0.36449819803237915), (' activists', -11.133301734924316), (' who', -2.4912302494049072), (' was', -5.194416046142578)]"
23,6,comfort,IC,low,pl,Bob comforted the leader of the activists who were, were,-1.813883662223816,"[('Bob', -9.640697479248047), (' comfort', -14.217617988586426), ('ed', -3.267867088317871), (' the', -2.997069835662842), (' leader', -7.4725847244262695), (' of', -0.7370892763137817), (' the', -0.45739778876304626), (' activists', -10.637901306152344), (' who', -2.248408794403076), (' were', -1.813883662223816)]"
24,6,greet,nonIC,low,pl,Bob greeted the leader of the activists who were, were,-1.6877288818359375,"[('Bob', -9.640697479248047), (' greeted', -11.970911979675293), (' the', -2.3652729988098145), (' leader', -7.95933723449707), (' of', -0.40982896089553833), (' the', -0.36449819803237915), (' activists', -11.133301734924316), (' who', -2.4912302494049072), (' were', -1.6877288818359375)]"
25,7,envy,IC,high,sg,Laura envies the manager of the cashiers who has, has,-4.785881519317627,"[('Laura', -10.184974670410156), (' env', -15.572212219238281), ('ies', -0.6506096124649048), (' the', -1.9148985147476196), (' manager', -10.208357810974121), (' of', -0.772270917892456), (' the', -0.9305135607719421), (' cash', -8.394729614257812), ('iers', -1.8636285066604614), (' who', -2.413327693939209), (' has', -4.785881519317627)]"
26,7,know,nonIC,high,sg,Laura knows the manager of the cashiers who has, has,-3.1898903846740723,"[('Laura', -10.184974670410156), (' knows', -9.41994857788086), (' the', -2.508185386657715), (' manager', -10.199800491333008), (' of', -0.9804260730743408), (' the', -0.9662829041481018), (' cash', -8.694762229919434), ('iers', -1.7124285697937012), (' who', -4.249872207641602), (' has', -3.1898903846740723)]"
27,7,envy,IC,low,pl,Laura envies the manager of the cashiers who have, have,-2.3953518867492676,"[('Laura', -10.184974670410156), (' env', -15.572212219238281), ('ies', -0.6506096124649048), (' the', -1.9148985147476196), (' manager', -10.208357810974121), (' of', -0.772270917892456), (' the', -0.9305135607719421), (' cash', -8.394729614257812), ('iers', -1.8636285066604614), (' who', -2.413327693939209), (' have', -2.3953518867492676)]"
28,7,know,nonIC,low,pl,Laura knows the manager of the cashiers who have, have,-3.532188892364502,"[('Laura', -10.184974670410156), (' knows', -9.41994857788086), (' the', -2.508185386657715), (' manager', -10.199800491333008), (' of', -0.9804260730743408), (' the', -0.9662829041481018), (' cash', -8.694762229919434), ('iers', -1.7124285697937012), (' who', -4.249872207641602), (' have', -3.532188892364502)]"
29,8,value,IC,high,sg,Zack valued the daughter of the shopkeepers who was, was,-3.835155487060547,"[('Z', -7.610641956329346), ('ack', -4.632176876068115), (' valued', -16.01112174987793), (' the', -1.7407044172286987), (' daughter', -10.746508598327637), (' of', -0.722710907459259), (' the', -1.910102128982544), (' shop', -7.167373180389404), ('keepers', -3.966834783554077), (' who', -2.381758689880371), (' was', -3.835155487060547)]"
30,8,recognize,nonIC,high,sg,Zack recognized the daughter of the shopkeepers who was, was,-4.291475296020508,"[('Z', -7.610641956329346), ('ack', -4.632176876068115), (' recognized', -13.085283279418945), (' the', -2.8538460731506348), (' daughter', -9.820943832397461), (' of', -0.4447670876979828), (' the', -2.2546863555908203), (' shop', -7.627013206481934), ('keepers', -4.05887508392334), (' who', -2.1393630504608154), (' was', -4.291475296020508)]"
31,8,value,IC,low,pl,Zack valued the daughter of the shopkeepers who were, were,-2.908731460571289,"[('Z', -7.610641956329346), ('ack', -4.632176876068115), (' valued', -16.01112174987793), (' the', -1.7407044172286987), (' daughter', -10.746508598327637), (' of', -0.722710907459259), (' the', -1.910102128982544), (' shop', -7.167373180389404), ('keepers', -3.966834783554077), (' who', -2.381758689880371), (' were', -2.908731460571289)]"
32,8,recognize,nonIC,low,pl,Zack recognized the daughter of the shopkeepers who were, were,-2.6646668910980225,"[('Z', -7.610641956329346), ('ack', -4.632176876068115), (' recognized', -13.085283279418945), (' the', -2.8538460731506348), (' daughter', -9.820943832397461), (' of', -0.4447670876979828), (' the', -2.2546863555908203), (' shop', -7.627013206481934), ('keepers', -4.05887508392334), (' who', -2.1393630504608154), (' were', -2.6646668910980225)]"
33,9,fear,IC,high,sg,Sarah fears the uncle of the toddlers who is, is,-3.9119832515716553,"[('Sarah', -9.71304702758789), (' fears', -10.322881698608398), (' the', -2.3693575859069824), (' uncle', -11.039036750793457), (' of', -3.591573476791382), (' the', -1.5310685634613037), (' toddlers', -11.649617195129395), (' who', -2.109405994415283), (' is', -3.9119832515716553)]"
34,9,jog,nonIC,high,sg,Sarah jogs with the uncle of the toddlers who is, is,-4.941376686096191,"[('Sarah', -9.71304702758789), (' j', -8.361238479614258), ('ogs', -11.434859275817871), (' with', -2.810671091079712), (' the', -2.7638680934906006), (' uncle', -12.722854614257812), (' of', -2.1495959758758545), (' the', -2.2668635845184326), (' toddlers', -9.087841033935547), (' who', -2.405959129333496), (' is', -4.941376686096191)]"
35,9,fear,IC,low,pl,Sarah fears the uncle of the toddlers who are, are,-2.8809468746185303,"[('Sarah', -9.71304702758789), (' fears', -10.322881698608398), (' the', -2.3693575859069824), (' uncle', -11.039036750793457), (' of', -3.591573476791382), (' the', -1.5310685634613037), (' toddlers', -11.649617195129395), (' who', -2.109405994415283), (' are', -2.8809468746185303)]"
36,9,jog,nonIC,low,pl,Sarah jogs with the uncle of the toddlers who are, are,-2.3886842727661133,"[('Sarah', -9.71304702758789), (' j', -8.361238479614258), ('ogs', -11.434859275817871), (' with', -2.810671091079712), (' the', -2.7638680934906006), (' uncle', -12.722854614257812), (' of', -2.1495959758758545), (' the', -2.2668635845184326), (' toddlers', -9.087841033935547), (' who', -2.405959129333496), (' are', -2.3886842727661133)]"
37,10,notice,IC,high,sg,Adam noticed the representative of the employees who was, was,-2.6972556114196777,"[('Adam', -9.734319686889648), (' noticed', -11.340158462524414), (' the', -2.4683213233947754), (' representative', -12.133867263793945), (' of', -1.9375056028366089), (' the', -0.7390995025634766), (' employees', -10.211896896362305), (' who', -3.5356199741363525), (' was', -2.6972556114196777)]"
38,10,resemble,nonIC,high,sg,Adam resembled the representative of the employees who was, was,-3.531869649887085,"[('Adam', -9.734319686889648), (' resembled', -16.656288146972656), (' the', -1.8887690305709839), (' representative', -9.949813842773438), (' of', -0.6375538110733032), (' the', -0.7898105978965759), (' employees', -9.355936050415039), (' who', -2.947265148162842), (' was', -3.531869649887085)]"
39,10,notice,IC,low,pl,Adam noticed the representative of the employees who were, were,-1.8801418542861938,"[('Adam', -9.734319686889648), (' noticed', -11.340158462524414), (' the', -2.4683213233947754), (' representative', -12.133867263793945), (' of', -1.9375056028366089), (' the', -0.7390995025634766), (' employees', -10.211896896362305), (' who', -3.5356199741363525), (' were', -1.8801418542861938)]"
40,10,resemble,nonIC,low,pl,Adam resembled the representative of the employees who were, were,-2.4111897945404053,"[('Adam', -9.734319686889648), (' resembled', -16.656288146972656), (' the', -1.8887690305709839), (' representative', -9.949813842773438), (' of', -0.6375538110733032), (' the', -0.7898105978965759), (' employees', -9.355936050415039), (' who', -2.947265148162842), (' were', -2.4111897945404053)]"
41,11,praise,IC,high,pl,Tina praised the gardeners of the millionaire who have, have,-4.123788833618164,"[('T', -5.996969699859619), ('ina', -5.524937629699707), (' praised', -12.488286972045898), (' the', -1.638914704322815), (' garden', -8.41470718383789), ('ers', -2.6234865188598633), (' of', -3.0779242515563965), (' the', -1.262238621711731), (' millionaire', -14.3956937789917), (' who', -2.97169828414917), (' have', -4.123788833618164)]"
42,11,meet,nonIC,high,pl,Tina met the gardeners of the millionaire who have, have,-5.319033622741699,"[('T', -5.996969699859619), ('ina', -5.524937629699707), (' met', -10.016678810119629), (' the', -3.401402473449707), (' garden', -10.932491302490234), ('ers', -1.422977328300476), (' of', -3.064460277557373), (' the', -1.4986886978149414), (' millionaire', -13.888944625854492), (' who', -3.5433542728424072), (' have', -5.319033622741699)]"
43,11,praise,IC,low,sg,Tina praised the gardeners of the millionaire who has, has,-3.4141464233398438,"[('T', -5.996969699859619), ('ina', -5.524937629699707), (' praised', -12.488286972045898), (' the', -1.638914704322815), (' garden', -8.41470718383789), ('ers', -2.6234865188598633), (' of', -3.0779242515563965), (' the', -1.262238621711731), (' millionaire', -14.3956937789917), (' who', -2.97169828414917), (' has', -3.4141464233398438)]"
44,11,meet,nonIC,low,sg,Tina met the gardeners of the millionaire who has, has,-3.7978200912475586,"[('T', -5.996969699859619), ('ina', -5.524937629699707), (' met', -10.016678810119629), (' the', -3.401402473449707), (' garden', -10.932491302490234), ('ers', -1.422977328300476), (' of', -3.064460277557373), (' the', -1.4986886978149414), (' millionaire', -13.888944625854492), (' who', -3.5433542728424072), (' has', -3.7978200912475586)]"
45,12,hate,IC,high,pl,Justin hates the cousins of the accountant who are, are,-4.5995683670043945,"[('Justin', -10.0885009765625), (' hates', -11.620973587036133), (' the', -2.3621904850006104), (' cousins', -12.109707832336426), (' of', -3.88911771774292), (' the', -1.4828526973724365), (' accountant', -11.976865768432617), (' who', -1.775216817855835), (' are', -4.5995683670043945)]"
46,12,carpool,nonIC,high,pl,Justin carpools with the cousins of the accountant who are, are,-5.995363235473633,"[('Justin', -10.0885009765625), (' carp', -14.108098030090332), ('ools', -8.4743070602417), (' with', -2.0136756896972656), (' the', -3.1423206329345703), (' cousins', -9.228596687316895), (' of', -3.145331859588623), (' the', -2.0115675926208496), (' accountant', -11.02869987487793), (' who', -1.690444827079773), (' are', -5.995363235473633)]"
47,12,hate,IC,low,sg,Justin hates the cousins of the accountant who is, is,-2.8508193492889404,"[('Justin', -10.0885009765625), (' hates', -11.620973587036133), (' the', -2.3621904850006104), (' cousins', -12.109707832336426), (' of', -3.88911771774292), (' the', -1.4828526973724365), (' accountant', -11.976865768432617), (' who', -1.775216817855835), (' is', -2.8508193492889404)]"
48,12,carpool,nonIC,low,sg,Justin carpools with the cousins of the accountant who is, is,-3.027132272720337,"[('Justin', -10.0885009765625), (' carp', -14.108098030090332), ('ools', -8.4743070602417), (' with', -2.0136756896972656), (' the', -3.1423206329345703), (' cousins', -9.228596687316895), (' of', -3.145331859588623), (' the', -2.0115675926208496), (' accountant', -11.02869987487793), (' who', -1.690444827079773), (' is', -3.027132272720337)]"
49,13,blame,IC,high,pl,Emily blamed the nieces of the florist who have, have,-7.359816551208496,"[('Emily', -10.468608856201172), (' blamed', -10.838074684143066), (' the', -2.270646572113037), (' nie', -12.570927619934082), ('ces', -0.018983235582709312), (' of', -4.45229959487915), (' the', -1.4341771602630615), (' flor', -10.846370697021484), ('ist', -0.10020776838064194), (' who', -1.890593409538269), (' have', -7.359816551208496)]"
50,13,wait,nonIC,high,pl,Emily waited with the nieces of the florist who have, have,-8.553274154663086,"[('Emily', -10.468608856201172), (' waited', -11.195359230041504), (' with', -4.18483304977417), (' the', -2.2284128665924072), (' nie', -12.045334815979004), ('ces', -0.02078396826982498), (' of', -4.609431743621826), (' the', -1.5263017416000366), (' flor', -9.671133041381836), ('ist', -0.06256621330976486), (' who', -2.882146120071411), (' have', -8.553274154663086)]"
51,13,blame,IC,low,sg,Emily blamed the nieces of the florist who has, has,-6.0132646560668945,"[('Emily', -10.468608856201172), (' blamed', -10.838074684143066), (' the', -2.270646572113037), (' nie', -12.570927619934082), ('ces', -0.018983235582709312), (' of', -4.45229959487915), (' the', -1.4341771602630615), (' flor', -10.846370697021484), ('ist', -0.10020776838064194), (' who', -1.890593409538269), (' has', -6.0132646560668945)]"
52,13,wait,nonIC,low,sg,Emily waited with the nieces of the florist who has, has,-6.115793228149414,"[('Emily', -10.468608856201172), (' waited', -11.195359230041504), (' with', -4.18483304977417), (' the', -2.2284128665924072), (' nie', -12.045334815979004), ('ces', -0.02078396826982498), (' of', -4.609431743621826), (' the', -1.5263017416000366), (' flor', -9.671133041381836), ('ist', -0.06256621330976486), (' who', -2.882146120071411), (' has', -6.115793228149414)]"
53,14,help,IC,high,pl,Joe helped the brothers of the athlete who are, are,-5.227211952209473,"[('Joe', -9.484020233154297), (' helped', -9.77552604675293), (' the', -3.5486226081848145), (' brothers', -7.805887699127197), (' of', -3.5604209899902344), (' the', -1.2774772644042969), (' athlete', -12.661832809448242), (' who', -3.3036975860595703), (' are', -5.227211952209473)]"
54,14,run,nonIC,high,pl,Joe ran into the brothers of the athlete who are, are,-7.2350335121154785,"[('Joe', -9.484020233154297), (' ran', -9.48016357421875), (' into', -2.8270821571350098), (' the', -2.239193916320801), (' brothers', -9.31758975982666), (' of', -3.7314491271972656), (' the', -1.4667989015579224), (' athlete', -10.134797096252441), (' who', -1.8460299968719482), (' are', -7.2350335121154785)]"
55,14,help,IC,low,sg,Joe helped the brothers of the athlete who is, is,-3.6425106525421143,"[('Joe', -9.484020233154297), (' helped', -9.77552604675293), (' the', -3.5486226081848145), (' brothers', -7.805887699127197), (' of', -3.5604209899902344), (' the', -1.2774772644042969), (' athlete', -12.661832809448242), (' who', -3.3036975860595703), (' is', -3.6425106525421143)]"
56,14,run,nonIC,low,sg,Joe ran into the brothers of the athlete who is, is,-4.223303318023682,"[('Joe', -9.484020233154297), (' ran', -9.48016357421875), (' into', -2.8270821571350098), (' the', -2.239193916320801), (' brothers', -9.31758975982666), (' of', -3.7314491271972656), (' the', -1.4667989015579224), (' athlete', -10.134797096252441), (' who', -1.8460299968719482), (' is', -4.223303318023682)]"
57,15,reproeach,IC,high,pl,Jessica reproached the doctors of the supermodel who were, were,-2.9977400302886963,"[('Jessica', -10.505098342895508), (' repro', -16.904396057128906), ('ached', -2.7742018699645996), (' the', -2.775141716003418), (' doctors', -7.189055442810059), (' of', -2.9650444984436035), (' the', -0.7989805340766907), (' super', -10.737603187561035), ('model', -6.14218807220459), (' who', -3.344221591949463), (' were', -2.9977400302886963)]"
58,15,work,nonIC,high,pl,Jessica worked with the doctors of the supermodel who were, were,-3.5960655212402344,"[('Jessica', -10.505098342895508), (' worked', -9.192012786865234), (' with', -1.6098166704177856), (' the', -2.132873296737671), (' doctors', -8.92965316772461), (' of', -3.755385398864746), (' the', -1.8334742784500122), (' super', -10.842206954956055), ('model', -3.7062644958496094), (' who', -4.817742347717285), (' were', -3.5960655212402344)]"
59,15,reproeach,IC,low,sg,Jessica reproached the doctors of the supermodel who was, was,-2.982961893081665,"[('Jessica', -10.505098342895508), (' repro', -16.904396057128906), ('ached', -2.7742018699645996), (' the', -2.775141716003418), (' doctors', -7.189055442810059), (' of', -2.9650444984436035), (' the', -0.7989805340766907), (' super', -10.737603187561035), ('model', -6.14218807220459), (' who', -3.344221591949463), (' was', -2.982961893081665)]"
60,15,work,nonIC,low,sg,Jessica worked with the doctors of the supermodel who was, was,-2.6892852783203125,"[('Jessica', -10.505098342895508), (' worked', -9.192012786865234), (' with', -1.6098166704177856), (' the', -2.132873296737671), (' doctors', -8.92965316772461), (' of', -3.755385398864746), (' the', -1.8334742784500122), (' super', -10.842206954956055), ('model', -3.7062644958496094), (' who', -4.817742347717285), (' was', -2.6892852783203125)]"
61,16,pacify,IC,high,pl,Brian pacified the associates of the businessman who were, were,-5.403862953186035,"[('Brian', -9.705940246582031), (' pac', -15.168293952941895), ('ified', -6.52390718460083), (' the', -1.8471940755844116), (' associates', -11.63551139831543), (' of', -1.9612733125686646), (' the', -1.137472152709961), (' businessman', -9.373828887939453), (' who', -1.8092148303985596), (' were', -5.403862953186035)]"
62,16,visit,nonIC,high,pl,Brian visited the associates of the businessman who were, were,-6.763486862182617,"[('Brian', -9.705940246582031), (' visited', -10.822175025939941), (' the', -1.5322054624557495), (' associates', -14.304519653320312), (' of', -1.3011322021484375), (' the', -1.6077537536621094), (' businessman', -12.174132347106934), (' who', -1.3981906175613403), (' were', -6.763486862182617)]"
63,16,pacify,IC,low,sg,Brian pacified the associates of the businessman who was, was,-2.2183997631073,"[('Brian', -9.705940246582031), (' pac', -15.168293952941895), ('ified', -6.52390718460083), (' the', -1.8471940755844116), (' associates', -11.63551139831543), (' of', -1.9612733125686646), (' the', -1.137472152709961), (' businessman', -9.373828887939453), (' who', -1.8092148303985596), (' was', -2.2183997631073)]"
64,16,visit,nonIC,low,sg,Brian visited the associates of the businessman who was, was,-1.800266146659851,"[('Brian', -9.705940246582031), (' visited', -10.822175025939941), (' the', -1.5322054624557495), (' associates', -14.304519653320312), (' of', -1.3011322021484375), (' the', -1.6077537536621094), (' businessman', -12.174132347106934), (' who', -1.3981906175613403), (' was', -1.800266146659851)]"
65,17,detest,IC,high,pl,Melissa detests the children of the musician who are, are,-5.219657897949219,"[('Mel', -9.084573745727539), ('issa', -1.6974684000015259), (' det', -13.308052062988281), ('ests', -2.3958544731140137), (' the', -1.7407398223876953), (' children', -7.878365516662598), (' of', -2.084691286087036), (' the', -1.4540221691131592), (' musician', -11.541871070861816), (' who', -1.755863904953003), (' are', -5.219657897949219)]"
66,17,babysit,nonIC,high,pl,Melissa babysits the children of the musician who are, are,-6.938292503356934,"[('Mel', -9.084573745727539), ('issa', -1.6974684000015259), (' babys', -14.349254608154297), ('its', -0.775672197341919), (' the', -3.4246833324432373), (' children', -2.591871500015259), (' of', -0.6856385469436646), (' the', -2.3096277713775635), (' musician', -9.238828659057617), (' who', -2.779365301132202), (' are', -6.938292503356934)]"
67,17,detest,IC,low,sg,Melissa detests the children of the musician who is, is,-2.2653465270996094,"[('Mel', -9.084573745727539), ('issa', -1.6974684000015259), (' det', -13.308052062988281), ('ests', -2.3958544731140137), (' the', -1.7407398223876953), (' children', -7.878365516662598), (' of', -2.084691286087036), (' the', -1.4540221691131592), (' musician', -11.541871070861816), (' who', -1.755863904953003), (' is', -2.2653465270996094)]"
68,17,babysit,nonIC,low,sg,Melissa babysits the children of the musician who is, is,-2.030780076980591,"[('Mel', -9.084573745727539), ('issa', -1.6974684000015259), (' babys', -14.349254608154297), ('its', -0.775672197341919), (' the', -3.4246833324432373), (' children', -2.591871500015259), (' of', -0.6856385469436646), (' the', -2.3096277713775635), (' musician', -9.238828659057617), (' who', -2.779365301132202), (' is', -2.030780076980591)]"
69,18,thank,IC,high,pl,Frank thanked the servants of the dictator who are, are,-4.335293769836426,"[('Frank', -9.279504776000977), (' thanked', -13.882749557495117), (' the', -1.9818607568740845), (' servants', -10.080618858337402), (' of', -2.0465750694274902), (' the', -0.8136770725250244), (' dictator', -11.273590087890625), (' who', -2.737037181854248), (' are', -4.335293769836426)]"
70,18,talk,nonIC,high,pl,Frank talked to the servants of the dictator who are, are,-5.593685150146484,"[('Frank', -9.279504776000977), (' talked', -11.005807876586914), (' to', -1.610378384590149), (' the', -2.248237133026123), (' servants', -9.808380126953125), (' of', -2.5618109703063965), (' the', -0.6521943807601929), (' dictator', -10.222704887390137), (' who', -3.1320548057556152), (' are', -5.593685150146484)]"
