sent_id,item_id,verb,sentence_type,continuation_type,main_sentence,sentence,critical_token,critical_prob,logprob
11,3,assist,IC,nonexp,Jenny assisted the maid who was regularly late to work,"Jenny assisted the maid who was regularly late to work, and", and,-1.687266230583191,"[('J', -6.658449649810791), ('enny', -4.616943359375), (' assisted', -12.1974515914917), (' the', -1.9893341064453125), (' maid', -11.923660278320312), (' who', -3.7435901165008545), (' was', -0.9738982915878296), (' regularly', -9.625938415527344), (' late', -5.345071792602539), (' to', -2.204667568206787), (' work', -1.039322853088379), (',', -1.8809839487075806), (' and', -1.687266230583191)]"
12,3,joke,nonIC,nonexp,Jenny joked with the maid who was regularly late to work,"Jenny joked with the maid who was regularly late to work, and", and,-2.1462297439575195,"[('J', -6.658449649810791), ('enny', -4.616943359375), (' joked', -13.422523498535156), (' with', -2.4162235260009766), (' the', -2.0464134216308594), (' maid', -8.93535327911377), (' who', -3.097846269607544), (' was', -1.4820122718811035), (' regularly', -9.66789436340332), (' late', -6.7389678955078125), (' to', -2.1903553009033203), (' work', -1.0958971977233887), (',', -1.5138622522354126), (' and', -2.1462297439575195)]"
13,4,trust,IC,exp,Nick trusted the captain who has consistently weathered big storms,"Nick trusted the captain who has consistently weathered big storms, because", because,-5.0055766105651855,"[('Nick', -9.632013320922852), (' trusted', -14.268987655639648), (' the', -2.2127721309661865), (' captain', -7.057305335998535), (' who', -4.584207534790039), (' has', -5.924783706665039), (' consistently', -8.276524543762207), (' weather', -8.616294860839844), ('ed', -0.019544873386621475), (' big', -6.800652503967285), (' storms', -0.40859097242355347), (',', -2.5823895931243896), (' because', -5.0055766105651855)]"
14,4,stand,nonIC,exp,Nick stood near the captain who has consistently weathered big storms,"Nick stood near the captain who has consistently weathered big storms, because", because,-6.635552406311035,"[('Nick', -9.632013320922852), (' stood', -11.681760787963867), (' near', -4.897724151611328), (' the', -0.2549915313720703), (' captain', -9.014433860778809), (' who', -5.821688175201416), (' has', -7.369203567504883), (' consistently', -10.378629684448242), (' weather', -8.880667686462402), ('ed', -0.025209881365299225), (' big', -8.081857681274414), (' storms', -0.4114086627960205), (',', -2.3448848724365234), (' because', -6.635552406311035)]"
15,4,trust,IC,nonexp,Nick trusted the captain who has consistently weathered big storms,"Nick trusted the captain who has consistently weathered big storms, and", and,-1.5487074851989746,"[('Nick', -9.632013320922852), (' trusted', -14.268987655639648), (' the', -2.2127721309661865), (' captain', -7.057305335998535), (' who', -4.584207534790039), (' has', -5.924783706665039), (' consistently', -8.276524543762207), (' weather', -8.616294860839844), ('ed', -0.019544873386621475), (' big', -6.800652503967285), (' storms', -0.40859097242355347), (',', -2.5823895931243896), (' and', -1.5487074851989746)]"
16,4,stand,nonIC,nonexp,Nick stood near the captain who has consistently weathered big storms,"Nick stood near the captain who has consistently weathered big storms, and", and,-1.7260768413543701,"[('Nick', -9.632013320922852), (' stood', -11.681760787963867), (' near', -4.897724151611328), (' the', -0.2549915313720703), (' captain', -9.014433860778809), (' who', -5.821688175201416), (' has', -7.369203567504883), (' consistently', -10.378629684448242), (' weather', -8.880667686462402), ('ed', -0.025209881365299225), (' big', -8.081857681274414), (' storms', -0.4114086627960205), (',', -2.3448848724365234), (' and', -1.7260768413543701)]"
17,5,correct,IC,exp,Angela corrected the secretary who has occasionally made small mistakes,"Angela corrected the secretary who has occasionally made small mistakes, because", because,-3.9893956184387207,"[('Ang', -9.166876792907715), ('ela', -1.8310261964797974), (' corrected', -13.09520149230957), (' the', -1.9465376138687134), (' secretary', -9.965989112854004), (' who', -3.236571788787842), (' has', -4.954556465148926), (' occasionally', -8.803818702697754), (' made', -3.699434280395508), (' small', -5.4282684326171875), (' mistakes', -0.8447116017341614), (',', -2.012363910675049), (' because', -3.9893956184387207)]"
18,5,gossip,nonIC,exp,Angela gossiped with the secretary who has occasionally made small mistakes,"Angela gossiped with the secretary who has occasionally made small mistakes, because", because,-4.579001426696777,"[('Ang', -9.166876792907715), ('ela', -1.8310261964797974), (' g', -10.353100776672363), ('oss', -3.5732595920562744), ('iped', -10.666479110717773), (' with', -1.7844239473342896), (' the', -2.396865129470825), (' secretary', -5.349841117858887), (' who', -3.5905375480651855), (' has', -4.901719570159912), (' occasionally', -9.512436866760254), (' made', -4.646417140960693), (' small', -5.438717842102051), (' mistakes', -5.432145118713379), (',', -2.243537425994873), (' because', -4.579001426696777)]"
19,5,correct,IC,nonexp,Angela corrected the secretary who has occasionally made small mistakes,"Angela corrected the secretary who has occasionally made small mistakes, and", and,-1.5930105447769165,"[('Ang', -9.166876792907715), ('ela', -1.8310261964797974), (' corrected', -13.09520149230957), (' the', -1.9465376138687134), (' secretary', -9.965989112854004), (' who', -3.236571788787842), (' has', -4.954556465148926), (' occasionally', -8.803818702697754), (' made', -3.699434280395508), (' small', -5.4282684326171875), (' mistakes', -0.8447116017341614), (',', -2.012363910675049), (' and', -1.5930105447769165)]"
20,5,gossip,nonIC,nonexp,Angela gossiped with the secretary who has occasionally made small mistakes,"Angela gossiped with the secretary who has occasionally made small mistakes, and", and,-1.9622299671173096,"[('Ang', -9.166876792907715), ('ela', -1.8310261964797974), (' g', -10.353100776672363), ('oss', -3.5732595920562744), ('iped', -10.666479110717773), (' with', -1.7844239473342896), (' the', -2.396865129470825), (' secretary', -5.349841117858887), (' who', -3.5905375480651855), (' has', -4.901719570159912), (' occasionally', -9.512436866760254), (' made', -4.646417140960693), (' small', -5.438717842102051), (' mistakes', -5.432145118713379), (',', -2.243537425994873), (' and', -1.9622299671173096)]"
21,6,comfort,IC,exp,Bob comforted the leader who was deeply disappointed by the court's decision,"Bob comforted the leader who was deeply disappointed by the court's decision, because", because,-4.887037754058838,"[('Bob', -9.640697479248047), (' comfort', -14.217617988586426), ('ed', -3.267867088317871), (' the', -2.997069835662842), (' leader', -7.4725847244262695), (' who', -4.155551910400391), (' was', -1.6054575443267822), (' deeply', -5.499277114868164), (' disappointed', -4.628535270690918), (' by', -2.408933639526367), (' the', -0.5917952060699463), (' court', -7.137974739074707), (""'s"", -1.1801643371582031), (' decision', -0.7865686416625977), (',', -2.305659294128418), (' because', -4.887037754058838)]"
22,6,greet,nonIC,exp,Bob greeted the leader who was deeply disappointed by the court's decision,"Bob greeted the leader who was deeply disappointed by the court's decision, because", because,-4.592211723327637,"[('Bob', -9.640697479248047), (' greeted', -11.970911979675293), (' the', -2.3652729988098145), (' leader', -7.95933723449707), (' who', -5.142502784729004), (' was', -1.4332822561264038), (' deeply', -8.175294876098633), (' disappointed', -3.9619789123535156), (' by', -2.6153392791748047), (' the', -0.5404521226882935), (' court', -8.815364837646484), (""'s"", -1.3586288690567017), (' decision', -0.8241319060325623), (',', -2.848358631134033), (' because', -4.592211723327637)]"
23,6,comfort,IC,nonexp,Bob comforted the leader who was deeply disappointed by the court's decision,"Bob comforted the leader who was deeply disappointed by the court's decision, and", and,-1.7150484323501587,"[('Bob', -9.640697479248047), (' comfort', -14.217617988586426), ('ed', -3.267867088317871), (' the', -2.997069835662842), (' leader', -7.4725847244262695), (' who', -4.155551910400391), (' was', -1.6054575443267822), (' deeply', -5.499277114868164), (' disappointed', -4.628535270690918), (' by', -2.408933639526367), (' the', -0.5917952060699463), (' court', -7.137974739074707), (""'s"", -1.1801643371582031), (' decision', -0.7865686416625977), (',', -2.305659294128418), (' and', -1.7150484323501587)]"
24,6,greet,nonIC,nonexp,Bob greeted the leader who was deeply disappointed by the court's decision,"Bob greeted the leader who was deeply disappointed by the court's decision, and", and,-1.6229676008224487,"[('Bob', -9.640697479248047), (' greeted', -11.970911979675293), (' the', -2.3652729988098145), (' leader', -7.95933723449707), (' who', -5.142502784729004), (' was', -1.4332822561264038), (' deeply', -8.175294876098633), (' disappointed', -3.9619789123535156), (' by', -2.6153392791748047), (' the', -0.5404521226882935), (' court', -8.815364837646484), (""'s"", -1.3586288690567017), (' decision', -0.8241319060325623), (',', -2.848358631134033), (' and', -1.6229676008224487)]"
25,7,envy,IC,exp,Laura envies the manager who has supposedly received a huge raise,"Laura envies the manager who has supposedly received a huge raise, because", because,-3.8074002265930176,"[('Laura', -10.184974670410156), (' env', -15.572212219238281), ('ies', -0.6506096124649048), (' the', -1.9148985147476196), (' manager', -10.208357810974121), (' who', -2.193035840988159), (' has', -2.5470612049102783), (' supposedly', -11.394868850708008), (' received', -3.993640422821045), (' a', -0.7841539978981018), (' huge', -4.492258071899414), (' raise', -1.2879164218902588), (',', -2.122652053833008), (' because', -3.8074002265930176)]"
26,7,know,nonIC,exp,Laura knows the manager who has supposedly received a huge raise,"Laura knows the manager who has supposedly received a huge raise, because", because,-6.299776554107666,"[('Laura', -10.184974670410156), (' knows', -9.41994857788086), (' the', -2.508185386657715), (' manager', -10.199800491333008), (' who', -4.322731971740723), (' has', -2.8058032989501953), (' supposedly', -9.902952194213867), (' received', -5.919317245483398), (' a', -1.2320717573165894), (' huge', -4.667341709136963), (' raise', -2.9658029079437256), (',', -2.0169878005981445), (' because', -6.299776554107666)]"
27,7,envy,IC,nonexp,Laura envies the manager who has supposedly received a huge raise,"Laura envies the manager who has supposedly received a huge raise, and", and,-1.8476643562316895,"[('Laura', -10.184974670410156), (' env', -15.572212219238281), ('ies', -0.6506096124649048), (' the', -1.9148985147476196), (' manager', -10.208357810974121), (' who', -2.193035840988159), (' has', -2.5470612049102783), (' supposedly', -11.394868850708008), (' received', -3.993640422821045), (' a', -0.7841539978981018), (' huge', -4.492258071899414), (' raise', -1.2879164218902588), (',', -2.122652053833008), (' and', -1.8476643562316895)]"
28,7,know,nonIC,nonexp,Laura knows the manager who has supposedly received a huge raise,"Laura knows the manager who has supposedly received a huge raise, and", and,-1.661489725112915,"[('Laura', -10.184974670410156), (' knows', -9.41994857788086), (' the', -2.508185386657715), (' manager', -10.199800491333008), (' who', -4.322731971740723), (' has', -2.8058032989501953), (' supposedly', -9.902952194213867), (' received', -5.919317245483398), (' a', -1.2320717573165894), (' huge', -4.667341709136963), (' raise', -2.9658029079437256), (',', -2.0169878005981445), (' and', -1.661489725112915)]"
29,8,value,IC,exp,Zack valued the daughter who was usually willing to spot him a few dollars,"Zack valued the daughter who was usually willing to spot him a few dollars, because", because,-5.050588130950928,"[('Z', -7.610641956329346), ('ack', -4.632176876068115), (' valued', -16.01112174987793), (' the', -1.7407044172286987), (' daughter', -10.746508598327637), (' who', -3.811415910720825), (' was', -1.862690806388855), (' usually', -9.18038558959961), (' willing', -6.27294921875), (' to', -0.04001104086637497), (' spot', -10.86723518371582), (' him', -1.629870891571045), (' a', -2.7734696865081787), (' few', -2.5564675331115723), (' dollars', -2.9445345401763916), (',', -2.817882776260376), (' because', -5.050588130950928)]"
30,8,recognize,nonIC,exp,Zack recognized the daughter who was usually willing to spot him a few dollars,"Zack recognized the daughter who was usually willing to spot him a few dollars, because", because,-5.171867847442627,"[('Z', -7.610641956329346), ('ack', -4.632176876068115), (' recognized', -13.085283279418945), (' the', -2.8538460731506348), (' daughter', -9.820943832397461), (' who', -3.583364486694336), (' was', -1.8304232358932495), (' usually', -9.151771545410156), (' willing', -7.494714736938477), (' to', -0.034492265433073044), (' spot', -9.859613418579102), (' him', -1.4481468200683594), (' a', -3.1679415702819824), (' few', -3.0131418704986572), (' dollars', -3.6653692722320557), (',', -2.8366379737854004), (' because', -5.171867847442627)]"
31,8,value,IC,nonexp,Zack valued the daughter who was usually willing to spot him a few dollars,"Zack valued the daughter who was usually willing to spot him a few dollars, and", and,-1.8701262474060059,"[('Z', -7.610641956329346), ('ack', -4.632176876068115), (' valued', -16.01112174987793), (' the', -1.7407044172286987), (' daughter', -10.746508598327637), (' who', -3.811415910720825), (' was', -1.862690806388855), (' usually', -9.18038558959961), (' willing', -6.27294921875), (' to', -0.04001104086637497), (' spot', -10.86723518371582), (' him', -1.629870891571045), (' a', -2.7734696865081787), (' few', -2.5564675331115723), (' dollars', -2.9445345401763916), (',', -2.817882776260376), (' and', -1.8701262474060059)]"
32,8,recognize,nonIC,nonexp,Zack recognized the daughter who was usually willing to spot him a few dollars,"Zack recognized the daughter who was usually willing to spot him a few dollars, and", and,-1.410436987876892,"[('Z', -7.610641956329346), ('ack', -4.632176876068115), (' recognized', -13.085283279418945), (' the', -2.8538460731506348), (' daughter', -9.820943832397461), (' who', -3.583364486694336), (' was', -1.8304232358932495), (' usually', -9.151771545410156), (' willing', -7.494714736938477), (' to', -0.034492265433073044), (' spot', -9.859613418579102), (' him', -1.4481468200683594), (' a', -3.1679415702819824), (' few', -3.0131418704986572), (' dollars', -3.6653692722320557), (',', -2.8366379737854004), (' and', -1.410436987876892)]"
33,9,fear,IC,exp,Sarah fears the man who is often heard yelling and screaming,"Sarah fears the man who is often heard yelling and screaming, because", because,-5.27293586730957,"[('Sarah', -9.71304702758789), (' fears', -10.322881698608398), (' the', -2.3693575859069824), (' man', -5.535167217254639), (' who', -1.4175629615783691), (' is', -2.881054639816284), (' often', -7.281023979187012), (' heard', -7.0422515869140625), (' yelling', -4.065179824829102), (' and', -3.353649139404297), (' screaming', -1.038211464881897), (',', -3.8382973670959473), (' because', -5.27293586730957)]"
34,9,jog,nonIC,exp,Sarah jogs with the man who is often heard yelling and screaming,"Sarah jogs with the man who is often heard yelling and screaming, because", because,-5.850943565368652,"[('Sarah', -9.71304702758789), (' j', -8.361238479614258), ('ogs', -11.434859275817871), (' with', -2.810671091079712), (' the', -2.7638680934906006), (' man', -6.49582052230835), (' who', -1.8066444396972656), (' is', -2.2982821464538574), (' often', -6.097623348236084), (' heard', -6.439668655395508), (' yelling', -3.605231761932373), (' and', -4.387985706329346), (' screaming', -1.609904170036316), (',', -3.14424729347229), (' because', -5.850943565368652)]"
35,9,fear,IC,nonexp,Sarah fears the man who is often heard yelling and screaming,"Sarah fears the man who is often heard yelling and screaming, and", and,-2.5707292556762695,"[('Sarah', -9.71304702758789), (' fears', -10.322881698608398), (' the', -2.3693575859069824), (' man', -5.535167217254639), (' who', -1.4175629615783691), (' is', -2.881054639816284), (' often', -7.281023979187012), (' heard', -7.0422515869140625), (' yelling', -4.065179824829102), (' and', -3.353649139404297), (' screaming', -1.038211464881897), (',', -3.8382973670959473), (' and', -2.5707292556762695)]"
36,9,jog,nonIC,nonexp,Sarah jogs with the man who is often heard yelling and screaming,"Sarah jogs with the man who is often heard yelling and screaming, and", and,-2.8202760219573975,"[('Sarah', -9.71304702758789), (' j', -8.361238479614258), ('ogs', -11.434859275817871), (' with', -2.810671091079712), (' the', -2.7638680934906006), (' man', -6.49582052230835), (' who', -1.8066444396972656), (' is', -2.2982821464538574), (' often', -6.097623348236084), (' heard', -6.439668655395508), (' yelling', -3.605231761932373), (' and', -4.387985706329346), (' screaming', -1.609904170036316), (',', -3.14424729347229), (' and', -2.8202760219573975)]"
37,10,notice,IC,exp,Adam noticed the representative who was always wearing safety goggles,"Adam noticed the representative who was always wearing safety goggles, because", because,-5.045350074768066,"[('Adam', -9.734319686889648), (' noticed', -11.340158462524414), (' the', -2.4683213233947754), (' representative', -12.133867263793945), (' who', -4.606229782104492), (' was', -1.4609949588775635), (' always', -6.272830963134766), (' wearing', -5.103253364562988), (' safety', -9.454886436462402), (' goggles', -1.6961162090301514), (',', -2.6972298622131348), (' because', -5.045350074768066)]"
38,10,resemble,nonIC,exp,Adam resembled the representative who was always wearing safety goggles,"Adam resembled the representative who was always wearing safety goggles, because", because,-4.90386962890625,"[('Adam', -9.734319686889648), (' resembled', -16.656288146972656), (' the', -1.8887690305709839), (' representative', -9.949813842773438), (' who', -4.665679454803467), (' was', -2.432145595550537), (' always', -5.499300956726074), (' wearing', -5.289441108703613), (' safety', -9.80166244506836), (' goggles', -1.1417837142944336), (',', -1.8980605602264404), (' because', -4.90386962890625)]"
39,10,notice,IC,nonexp,Adam noticed the representative who was always wearing safety goggles,"Adam noticed the representative who was always wearing safety goggles, and", and,-1.554072618484497,"[('Adam', -9.734319686889648), (' noticed', -11.340158462524414), (' the', -2.4683213233947754), (' representative', -12.133867263793945), (' who', -4.606229782104492), (' was', -1.4609949588775635), (' always', -6.272830963134766), (' wearing', -5.103253364562988), (' safety', -9.454886436462402), (' goggles', -1.6961162090301514), (',', -2.6972298622131348), (' and', -1.554072618484497)]"
40,10,resemble,nonIC,nonexp,Adam resembled the representative who was always wearing safety goggles,"Adam resembled the representative who was always wearing safety goggles, and", and,-2.162435293197632,"[('Adam', -9.734319686889648), (' resembled', -16.656288146972656), (' the', -1.8887690305709839), (' representative', -9.949813842773438), (' who', -4.665679454803467), (' was', -2.432145595550537), (' always', -5.499300956726074), (' wearing', -5.289441108703613), (' safety', -9.80166244506836), (' goggles', -1.1417837142944336), (',', -1.8980605602264404), (' and', -2.162435293197632)]"
41,11,praise,IC,exp,Tina praised the gardeners who have recently installed a solar powered sprinkler,"Tina praised the gardeners who have recently installed a solar powered sprinkler, because", because,-5.024141788482666,"[('T', -5.996969699859619), ('ina', -5.524937629699707), (' praised', -12.488286972045898), (' the', -1.638914704322815), (' garden', -8.41470718383789), ('ers', -2.6234865188598633), (' who', -2.53163480758667), (' have', -2.6452078819274902), (' recently', -4.9689249992370605), (' installed', -4.418591022491455), (' a', -1.0752350091934204), (' solar', -4.277454376220703), (' powered', -3.005643129348755), (' sprink', -4.285789966583252), ('ler', -0.03677067905664444), (',', -4.877373218536377), (' because', -5.024141788482666)]"
42,11,meet,nonIC,exp,Tina met the gardeners who have recently installed a solar powered sprinkler,"Tina met the gardeners who have recently installed a solar powered sprinkler, because", because,-5.756698131561279,"[('T', -5.996969699859619), ('ina', -5.524937629699707), (' met', -10.016678810119629), (' the', -3.401402473449707), (' garden', -10.932491302490234), ('ers', -1.422977328300476), (' who', -2.9335970878601074), (' have', -3.3745946884155273), (' recently', -5.708647727966309), (' installed', -3.4997520446777344), (' a', -0.9089499115943909), (' solar', -3.2189364433288574), (' powered', -2.8334312438964844), (' sprink', -4.924468517303467), ('ler', -0.0315733477473259), (',', -5.367982387542725), (' because', -5.756698131561279)]"
43,11,praise,IC,nonexp,Tina praised the gardeners who have recently installed a solar powered sprinkler,"Tina praised the gardeners who have recently installed a solar powered sprinkler, and", and,-1.9573043584823608,"[('T', -5.996969699859619), ('ina', -5.524937629699707), (' praised', -12.488286972045898), (' the', -1.638914704322815), (' garden', -8.41470718383789), ('ers', -2.6234865188598633), (' who', -2.53163480758667), (' have', -2.6452078819274902), (' recently', -4.9689249992370605), (' installed', -4.418591022491455), (' a', -1.0752350091934204), (' solar', -4.277454376220703), (' powered', -3.005643129348755), (' sprink', -4.285789966583252), ('ler', -0.03677067905664444), (',', -4.877373218536377), (' and', -1.9573043584823608)]"
44,11,meet,nonIC,nonexp,Tina met the gardeners who have recently installed a solar powered sprinkler,"Tina met the gardeners who have recently installed a solar powered sprinkler, and", and,-1.6668152809143066,"[('T', -5.996969699859619), ('ina', -5.524937629699707), (' met', -10.016678810119629), (' the', -3.401402473449707), (' garden', -10.932491302490234), ('ers', -1.422977328300476), (' who', -2.9335970878601074), (' have', -3.3745946884155273), (' recently', -5.708647727966309), (' installed', -3.4997520446777344), (' a', -0.9089499115943909), (' solar', -3.2189364433288574), (' powered', -2.8334312438964844), (' sprink', -4.924468517303467), ('ler', -0.0315733477473259), (',', -5.367982387542725), (' and', -1.6668152809143066)]"
45,12,hate,IC,exp,Justin hates the cousins who are forever telling the same tasteless jokes,"Justin hates the cousins who are forever telling the same tasteless jokes, because", because,-5.439907073974609,"[('Justin', -10.0885009765625), (' hates', -11.620973587036133), (' the', -2.3621904850006104), (' cousins', -12.109707832336426), (' who', -2.3949942588806152), (' are', -2.277209520339966), (' forever', -6.860600471496582), (' telling', -3.6539509296417236), (' the', -4.0842390060424805), (' same', -3.0048861503601074), (' taste', -10.832822799682617), ('less', -0.03670230507850647), (' jokes', -0.3319762051105499), (',', -2.099064826965332), (' because', -5.439907073974609)]"
46,12,carpool,nonIC,exp,Justin carpools with the cousins who are forever telling the same tasteless jokes,"Justin carpools with the cousins who are forever telling the same tasteless jokes, because", because,-5.030339241027832,"[('Justin', -10.0885009765625), (' carp', -14.108098030090332), ('ools', -8.4743070602417), (' with', -2.0136756896972656), (' the', -3.1423206329345703), (' cousins', -9.228596687316895), (' who', -4.133327007293701), (' are', -1.9266530275344849), (' forever', -8.58819580078125), (' telling', -6.282560348510742), (' the', -4.68419885635376), (' same', -3.5712554454803467), (' taste', -11.641020774841309), ('less', -0.07170617580413818), (' jokes', -0.44373273849487305), (',', -2.423093795776367), (' because', -5.030339241027832)]"
47,12,hate,IC,nonexp,Justin hates the cousins who are forever telling the same tasteless jokes,"Justin hates the cousins who are forever telling the same tasteless jokes, and", and,-1.4426430463790894,"[('Justin', -10.0885009765625), (' hates', -11.620973587036133), (' the', -2.3621904850006104), (' cousins', -12.109707832336426), (' who', -2.3949942588806152), (' are', -2.277209520339966), (' forever', -6.860600471496582), (' telling', -3.6539509296417236), (' the', -4.0842390060424805), (' same', -3.0048861503601074), (' taste', -10.832822799682617), ('less', -0.03670230507850647), (' jokes', -0.3319762051105499), (',', -2.099064826965332), (' and', -1.4426430463790894)]"
48,12,carpool,nonIC,nonexp,Justin carpools with the cousins who are forever telling the same tasteless jokes,"Justin carpools with the cousins who are forever telling the same tasteless jokes, and", and,-1.625699758529663,"[('Justin', -10.0885009765625), (' carp', -14.108098030090332), ('ools', -8.4743070602417), (' with', -2.0136756896972656), (' the', -3.1423206329345703), (' cousins', -9.228596687316895), (' who', -4.133327007293701), (' are', -1.9266530275344849), (' forever', -8.58819580078125), (' telling', -6.282560348510742), (' the', -4.68419885635376), (' same', -3.5712554454803467), (' taste', -11.641020774841309), ('less', -0.07170617580413818), (' jokes', -0.44373273849487305), (',', -2.423093795776367), (' and', -1.625699758529663)]"
