sent_id,item_id,verb,sentence_type,np_order,target,option_1,option_2,answer_option,prompt_1,prompt_2,prompt
11,6,comfort,IC,high_sg,Bob comforted the leader of the activists who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Bob comforted the leader of the activists who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Bob comforted the leader of the activists who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Bob comforted the leader of the activists who ___ . Options: 1) were, 2) was. Answer: "
12,6,greet,nonIC,high_sg,Bob greeted the leader of the activists who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Bob greeted the leader of the activists who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Bob greeted the leader of the activists who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Bob greeted the leader of the activists who ___ . Options: 1) was, 2) were. Answer: "
13,7,envy,IC,high_sg,Laura envies the manager of the cashiers who ___ .,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Laura envies the manager of the cashiers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Laura envies the manager of the cashiers who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Laura envies the manager of the cashiers who ___ . Options: 1) has, 2) have. Answer: "
14,7,know,nonIC,high_sg,Laura knows the manager of the cashiers who ___ .,"1) has, 2) have","1) have, 2) has","1) have, 2) has","Sentence: Laura knows the manager of the cashiers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Laura knows the manager of the cashiers who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Laura knows the manager of the cashiers who ___ . Options: 1) have, 2) has. Answer: "
15,8,value,IC,high_sg,Zack valued the daughter of the shopkeepers who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Zack valued the daughter of the shopkeepers who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Zack valued the daughter of the shopkeepers who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Zack valued the daughter of the shopkeepers who ___ . Options: 1) were, 2) was. Answer: "
16,8,recognize,nonIC,high_sg,Zack recognized the daughter of the shopkeepers who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Zack recognized the daughter of the shopkeepers who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Zack recognized the daughter of the shopkeepers who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Zack recognized the daughter of the shopkeepers who ___ . Options: 1) was, 2) were. Answer: "
17,9,fear,IC,high_sg,Sarah fears the uncle of the toddlers who ___ .,"1) is, 2) are","1) are, 2) is","1) is, 2) are","Sentence: Sarah fears the uncle of the toddlers who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Sarah fears the uncle of the toddlers who ___ . Options: 1) are, 2) is. Answer: ","Sentence: Sarah fears the uncle of the toddlers who ___ . Options: 1) is, 2) are. Answer: "
18,9,jog,nonIC,high_sg,Sarah jogs with the uncle of the toddlers who ___ .,"1) is, 2) are","1) are, 2) is","1) are, 2) is","Sentence: Sarah jogs with the uncle of the toddlers who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Sarah jogs with the uncle of the toddlers who ___ . Options: 1) are, 2) is. Answer: ","Sentence: Sarah jogs with the uncle of the toddlers who ___ . Options: 1) are, 2) is. Answer: "
19,10,notice,IC,high_sg,Adam noticed the representative of the employees who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Adam noticed the representative of the employees who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Adam noticed the representative of the employees who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Adam noticed the representative of the employees who ___ . Options: 1) were, 2) was. Answer: "
20,10,resemble,nonIC,high_sg,Adam resembled the representative of the employees who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Adam resembled the representative of the employees who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Adam resembled the representative of the employees who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Adam resembled the representative of the employees who ___ . Options: 1) was, 2) were. Answer: "
21,11,praise,IC,high_pl,Tina praised the gardeners of the millionaire who ___ .,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Tina praised the gardeners of the millionaire who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Tina praised the gardeners of the millionaire who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Tina praised the gardeners of the millionaire who ___ . Options: 1) has, 2) have. Answer: "
22,11,meet,nonIC,high_pl,Tina met the gardeners of the millionaire who ___ .,"1) has, 2) have","1) have, 2) has","1) have, 2) has","Sentence: Tina met the gardeners of the millionaire who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Tina met the gardeners of the millionaire who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Tina met the gardeners of the millionaire who ___ . Options: 1) have, 2) has. Answer: "
23,12,hate,IC,high_pl,Justin hates the cousins of the accountant who ___ .,"1) is, 2) are","1) are, 2) is","1) are, 2) is","Sentence: Justin hates the cousins of the accountant who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Justin hates the cousins of the accountant who ___ . Options: 1) are, 2) is. Answer: ","Sentence: Justin hates the cousins of the accountant who ___ . Options: 1) are, 2) is. Answer: "
24,12,carpool,nonIC,high_pl,Justin carpools with the cousins of the accountant who ___ .,"1) is, 2) are","1) are, 2) is","1) is, 2) are","Sentence: Justin carpools with the cousins of the accountant who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Justin carpools with the cousins of the accountant who ___ . Options: 1) are, 2) is. Answer: ","Sentence: Justin carpools with the cousins of the accountant who ___ . Options: 1) is, 2) are. Answer: "
25,13,blame,IC,high_pl,Emily blamed the nieces of the florist who ___ .,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Emily blamed the nieces of the florist who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Emily blamed the nieces of the florist who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Emily blamed the nieces of the florist who ___ . Options: 1) has, 2) have. Answer: "
26,13,wait,nonIC,high_pl,Emily waited with the nieces of the florist who ___ .,"1) has, 2) have","1) have, 2) has","1) have, 2) has","Sentence: Emily waited with the nieces of the florist who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Emily waited with the nieces of the florist who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Emily waited with the nieces of the florist who ___ . Options: 1) have, 2) has. Answer: "
27,14,help,IC,high_pl,Joe helped the brothers of the athlete who ___ .,"1) is, 2) are","1) are, 2) is","1) are, 2) is","Sentence: Joe helped the brothers of the athlete who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Joe helped the brothers of the athlete who ___ . Options: 1) are, 2) is. Answer: ","Sentence: Joe helped the brothers of the athlete who ___ . Options: 1) are, 2) is. Answer: "
28,14,run,nonIC,high_pl,Joe ran into the brothers of the athlete who ___ .,"1) is, 2) are","1) are, 2) is","1) is, 2) are","Sentence: Joe ran into the brothers of the athlete who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Joe ran into the brothers of the athlete who ___ . Options: 1) are, 2) is. Answer: ","Sentence: Joe ran into the brothers of the athlete who ___ . Options: 1) is, 2) are. Answer: "
29,15,reproach,IC,high_pl,Jessica reproached the doctors of the supermodel who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Jessica reproached the doctors of the supermodel who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jessica reproached the doctors of the supermodel who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Jessica reproached the doctors of the supermodel who ___ . Options: 1) was, 2) were. Answer: "
30,15,work,nonIC,high_pl,Jessica worked with the doctors of the supermodel who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Jessica worked with the doctors of the supermodel who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jessica worked with the doctors of the supermodel who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Jessica worked with the doctors of the supermodel who ___ . Options: 1) were, 2) was. Answer: "
31,16,pacify,IC,high_pl,Brian pacified the associates of the businessman who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Brian pacified the associates of the businessman who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Brian pacified the associates of the businessman who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Brian pacified the associates of the businessman who ___ . Options: 1) were, 2) was. Answer: "
32,16,visit,nonIC,high_pl,Brian visited the associates of the businessman who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Brian visited the associates of the businessman who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Brian visited the associates of the businessman who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Brian visited the associates of the businessman who ___ . Options: 1) was, 2) were. Answer: "
33,17,detest,IC,high_pl,Melissa detests the children of the musician who ___ .,"1) is, 2) are","1) are, 2) is","1) is, 2) are","Sentence: Melissa detests the children of the musician who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Melissa detests the children of the musician who ___ . Options: 1) are, 2) is. Answer: ","Sentence: Melissa detests the children of the musician who ___ . Options: 1) is, 2) are. Answer: "
34,17,babysit,nonIC,high_pl,Melissa babysits the children of the musician who ___ .,"1) is, 2) are","1) are, 2) is","1) are, 2) is","Sentence: Melissa babysits the children of the musician who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Melissa babysits the children of the musician who ___ . Options: 1) are, 2) is. Answer: ","Sentence: Melissa babysits the children of the musician who ___ . Options: 1) are, 2) is. Answer: "
35,18,thank,IC,high_pl,Frank thanked the servants of the dictator who ___ .,"1) is, 2) are","1) are, 2) is","1) are, 2) is","Sentence: Frank thanked the servants of the dictator who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Frank thanked the servants of the dictator who ___ . Options: 1) are, 2) is. Answer: ","Sentence: Frank thanked the servants of the dictator who ___ . Options: 1) are, 2) is. Answer: "
36,18,talk,nonIC,high_pl,Frank talked to the servants of the dictator who ___ .,"1) is, 2) are","1) are, 2) is","1) is, 2) are","Sentence: Frank talked to the servants of the dictator who ___ . Options: 1) is, 2) are. Answer: ","Sentence: Frank talked to the servants of the dictator who ___ . Options: 1) are, 2) is. Answer: ","Sentence: Frank talked to the servants of the dictator who ___ . Options: 1) is, 2) are. Answer: "
37,19,congratulate,IC,high_pl,Tracy congratulated the bodyguards of the celebrity who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Tracy congratulated the bodyguards of the celebrity who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Tracy congratulated the bodyguards of the celebrity who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Tracy congratulated the bodyguards of the celebrity who ___ . Options: 1) was, 2) were. Answer: "
38,19,chat,nonIC,high_pl,Tracy chatted with the bodyguards of the celebrity who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Tracy chatted with the bodyguards of the celebrity who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Tracy chatted with the bodyguards of the celebrity who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Tracy chatted with the bodyguards of the celebrity who ___ . Options: 1) were, 2) was. Answer: "
39,20,mock,IC,high_pl,Kevin mocked the fans of the singer who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Kevin mocked the fans of the singer who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Kevin mocked the fans of the singer who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Kevin mocked the fans of the singer who ___ . Options: 1) were, 2) was. Answer: "
40,20,count,nonIC,high_pl,Kevin counted the fans of the singer who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Kevin counted the fans of the singer who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Kevin counted the fans of the singer who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Kevin counted the fans of the singer who ___ . Options: 1) was, 2) were. Answer: "
41,21,scold,IC,high_sg,Alice scolded the coordinator of the participants who ___. ,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Alice scolded the coordinator of the participants who ___.  Options: 1) was, 2) were. Answer: ","Sentence: Alice scolded the coordinator of the participants who ___.  Options: 1) were, 2) was. Answer: ","Sentence: Alice scolded the coordinator of the participants who ___.  Options: 1) was, 2) were. Answer: "
42,21,joke,nonIC,high_sg,Alice joked with the coordinator of the participants who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Alice joked with the coordinator of the participants who ___. Options: 1) was, 2) were. Answer: ","Sentence: Alice joked with the coordinator of the participants who ___. Options: 1) were, 2) was. Answer: ","Sentence: Alice joked with the coordinator of the participants who ___. Options: 1) were, 2) was. Answer: "
43,22,stare,IC,high_sg,Charles stared at the patron of the artists who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Charles stared at the patron of the artists who ___. Options: 1) was, 2) were. Answer: ","Sentence: Charles stared at the patron of the artists who ___. Options: 1) were, 2) was. Answer: ","Sentence: Charles stared at the patron of the artists who ___. Options: 1) were, 2) was. Answer: "
44,22,study,nonIC,high_sg,Charles studied with the patron of the artists who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Charles studied with the patron of the artists who ___. Options: 1) was, 2) were. Answer: ","Sentence: Charles studied with the patron of the artists who ___. Options: 1) were, 2) was. Answer: ","Sentence: Charles studied with the patron of the artists who ___. Options: 1) was, 2) were. Answer: "
45,23,assist,IC,high_sg,Ben assisted the coach of the players who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Ben assisted the coach of the players who ___. Options: 1) was, 2) were. Answer: ","Sentence: Ben assisted the coach of the players who ___. Options: 1) were, 2) was. Answer: ","Sentence: Ben assisted the coach of the players who ___. Options: 1) was, 2) were. Answer: "
46,23,stand,nonIC,high_sg,Ben stood next to the coach of the players who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Ben stood next to the coach of the players who ___. Options: 1) was, 2) were. Answer: ","Sentence: Ben stood next to the coach of the players who ___. Options: 1) were, 2) was. Answer: ","Sentence: Ben stood next to the coach of the players who ___. Options: 1) were, 2) was. Answer: "
47,24,trust,IC,high_sg,Bob trusted the physician of the patients who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Bob trusted the physician of the patients who ___. Options: 1) was, 2) were. Answer: ","Sentence: Bob trusted the physician of the patients who ___. Options: 1) were, 2) was. Answer: ","Sentence: Bob trusted the physician of the patients who ___. Options: 1) were, 2) was. Answer: "
48,24,live,nonIC,high_sg,Bob lived next to the physician of the patients who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Bob lived next to the physician of the patients who ___. Options: 1) was, 2) were. Answer: ","Sentence: Bob lived next to the physician of the patients who ___. Options: 1) were, 2) was. Answer: ","Sentence: Bob lived next to the physician of the patients who ___. Options: 1) was, 2) were. Answer: "
49,25,correct,IC,high_sg,Rachel corrected the agent of the celebrities who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Rachel corrected the agent of the celebrities who ___. Options: 1) was, 2) were. Answer: ","Sentence: Rachel corrected the agent of the celebrities who ___. Options: 1) were, 2) was. Answer: ","Sentence: Rachel corrected the agent of the celebrities who ___. Options: 1) was, 2) were. Answer: "
50,25,run,nonIC,high_sg,Rachel ran into the agent of the celebrities who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Rachel ran into the agent of the celebrities who ___. Options: 1) was, 2) were. Answer: ","Sentence: Rachel ran into the agent of the celebrities who ___. Options: 1) were, 2) was. Answer: ","Sentence: Rachel ran into the agent of the celebrities who ___. Options: 1) were, 2) was. Answer: "
51,26,thank,IC,high_sg,James thanked the analyst of the vendors who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: James thanked the analyst of the vendors who ___. Options: 1) was, 2) were. Answer: ","Sentence: James thanked the analyst of the vendors who ___. Options: 1) were, 2) was. Answer: ","Sentence: James thanked the analyst of the vendors who ___. Options: 1) were, 2) was. Answer: "
52,26,chat,nonIC,high_sg,James chatted with the analyst of the vendors who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: James chatted with the analyst of the vendors who ___. Options: 1) was, 2) were. Answer: ","Sentence: James chatted with the analyst of the vendors who ___. Options: 1) were, 2) was. Answer: ","Sentence: James chatted with the analyst of the vendors who ___. Options: 1) was, 2) were. Answer: "
53,27,envy,IC,high_sg,Zoey envies the representative of the voters who ___.,"1) is, 2) are","1) are, 2) is","1) is, 2) are","Sentence: Zoey envies the representative of the voters who ___. Options: 1) is, 2) are. Answer: ","Sentence: Zoey envies the representative of the voters who ___. Options: 1) are, 2) is. Answer: ","Sentence: Zoey envies the representative of the voters who ___. Options: 1) is, 2) are. Answer: "
54,27,resemble,nonIC,high_sg,Zoey resembles the representative of the voters who ___.,"1) is, 2) are","1) are, 2) is","1) are, 2) is","Sentence: Zoey resembles the representative of the voters who ___. Options: 1) is, 2) are. Answer: ","Sentence: Zoey resembles the representative of the voters who ___. Options: 1) are, 2) is. Answer: ","Sentence: Zoey resembles the representative of the voters who ___. Options: 1) are, 2) is. Answer: "
55,28,value,IC,high_sg,Stephen values the accountant of the investors who ___.,"1) is, 2) are","1) are, 2) is","1) are, 2) is","Sentence: Stephen values the accountant of the investors who ___. Options: 1) is, 2) are. Answer: ","Sentence: Stephen values the accountant of the investors who ___. Options: 1) are, 2) is. Answer: ","Sentence: Stephen values the accountant of the investors who ___. Options: 1) are, 2) is. Answer: "
56,28,meet,nonIC,high_sg,Stephen met the accountant of the investors who ___.,"1) is, 2) are","1) are, 2) is","1) is, 2) are","Sentence: Stephen met the accountant of the investors who ___. Options: 1) is, 2) are. Answer: ","Sentence: Stephen met the accountant of the investors who ___. Options: 1) are, 2) is. Answer: ","Sentence: Stephen met the accountant of the investors who ___. Options: 1) is, 2) are. Answer: "
57,29,fear,IC,high_sg,Liz fears the lawyer of the actors who ___.,"1) is, 2) are","1) are, 2) is","1) is, 2) are","Sentence: Liz fears the lawyer of the actors who ___. Options: 1) is, 2) are. Answer: ","Sentence: Liz fears the lawyer of the actors who ___. Options: 1) are, 2) is. Answer: ","Sentence: Liz fears the lawyer of the actors who ___. Options: 1) is, 2) are. Answer: "
58,29,recognize,nonIC,high_sg,Liz recognizes the lawyer of the actors who ___.,"1) is, 2) are","1) are, 2) is","1) are, 2) is","Sentence: Liz recognizes the lawyer of the actors who ___. Options: 1) is, 2) are. Answer: ","Sentence: Liz recognizes the lawyer of the actors who ___. Options: 1) are, 2) is. Answer: ","Sentence: Liz recognizes the lawyer of the actors who ___. Options: 1) are, 2) is. Answer: "
59,30,notice,IC,high_sg,Jan noticed the son of the scientists who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Jan noticed the son of the scientists who ___. Options: 1) was, 2) were. Answer: ","Sentence: Jan noticed the son of the scientists who ___. Options: 1) were, 2) was. Answer: ","Sentence: Jan noticed the son of the scientists who ___. Options: 1) were, 2) was. Answer: "
60,30,jog,nonIC,high_sg,Jan jogged with the son of the scientists who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Jan jogged with the son of the scientists who ___. Options: 1) was, 2) were. Answer: ","Sentence: Jan jogged with the son of the scientists who ___. Options: 1) were, 2) was. Answer: ","Sentence: Jan jogged with the son of the scientists who ___. Options: 1) was, 2) were. Answer: "
61,31,praise,IC,high_pl,Luke praised the tenants of the landlord who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Luke praised the tenants of the landlord who ___. Options: 1) was, 2) were. Answer: ","Sentence: Luke praised the tenants of the landlord who ___. Options: 1) were, 2) was. Answer: ","Sentence: Luke praised the tenants of the landlord who ___. Options: 1) was, 2) were. Answer: "
62,31,carpool,nonIC,high_pl,Luke carpooled with the tenants of the landlord who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Luke carpooled with the tenants of the landlord who ___. Options: 1) was, 2) were. Answer: ","Sentence: Luke carpooled with the tenants of the landlord who ___. Options: 1) were, 2) was. Answer: ","Sentence: Luke carpooled with the tenants of the landlord who ___. Options: 1) was, 2) were. Answer: "
63,32,hate,IC,high_pl,Karen hates the followers of the leader who ___.,"1) is, 2) are","1) are, 2) is","1) are, 2) is","Sentence: Karen hates the followers of the leader who ___. Options: 1) is, 2) are. Answer: ","Sentence: Karen hates the followers of the leader who ___. Options: 1) are, 2) is. Answer: ","Sentence: Karen hates the followers of the leader who ___. Options: 1) are, 2) is. Answer: "
64,32,know,nonIC,high_pl,Karen knows the follwers of the leader who ___.,"1) is, 2) are","1) are, 2) is","1) are, 2) is","Sentence: Karen knows the follwers of the leader who ___. Options: 1) is, 2) are. Answer: ","Sentence: Karen knows the follwers of the leader who ___. Options: 1) are, 2) is. Answer: ","Sentence: Karen knows the follwers of the leader who ___. Options: 1) are, 2) is. Answer: "
65,33,blame,IC,high_pl,Jack blamed the trainees of the craftsman who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Jack blamed the trainees of the craftsman who ___. Options: 1) was, 2) were. Answer: ","Sentence: Jack blamed the trainees of the craftsman who ___. Options: 1) were, 2) was. Answer: ","Sentence: Jack blamed the trainees of the craftsman who ___. Options: 1) was, 2) were. Answer: "
66,33,gossip,nonIC,high_pl,Jack gossiped with the trainees of the craftsman who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Jack gossiped with the trainees of the craftsman who ___. Options: 1) was, 2) were. Answer: ","Sentence: Jack gossiped with the trainees of the craftsman who ___. Options: 1) were, 2) was. Answer: ","Sentence: Jack gossiped with the trainees of the craftsman who ___. Options: 1) was, 2) were. Answer: "
67,34,help,IC,high_pl,Sophia helped the students of the professor who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Sophia helped the students of the professor who ___. Options: 1) was, 2) were. Answer: ","Sentence: Sophia helped the students of the professor who ___. Options: 1) were, 2) was. Answer: ","Sentence: Sophia helped the students of the professor who ___. Options: 1) were, 2) was. Answer: "
68,34,wait,nonIC,high_pl,Sophia waited with the students of the professor who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Sophia waited with the students of the professor who ___. Options: 1) was, 2) were. Answer: ","Sentence: Sophia waited with the students of the professor who ___. Options: 1) were, 2) was. Answer: ","Sentence: Sophia waited with the students of the professor who ___. Options: 1) were, 2) was. Answer: "
69,35,reproach,IC,high_pl,Noah reproached the assistants of the technician who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Noah reproached the assistants of the technician who ___. Options: 1) was, 2) were. Answer: ","Sentence: Noah reproached the assistants of the technician who ___. Options: 1) were, 2) was. Answer: ","Sentence: Noah reproached the assistants of the technician who ___. Options: 1) was, 2) were. Answer: "
70,35,visit,nonIC,high_pl,Noah visited the assistants of the technician who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Noah visited the assistants of the technician who ___. Options: 1) was, 2) were. Answer: ","Sentence: Noah visited the assistants of the technician who ___. Options: 1) were, 2) was. Answer: ","Sentence: Noah visited the assistants of the technician who ___. Options: 1) was, 2) were. Answer: "
71,36,pacify,IC,high_pl,Charlotte pacified the patients of the therapist who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Charlotte pacified the patients of the therapist who ___. Options: 1) was, 2) were. Answer: ","Sentence: Charlotte pacified the patients of the therapist who ___. Options: 1) were, 2) was. Answer: ","Sentence: Charlotte pacified the patients of the therapist who ___. Options: 1) were, 2) was. Answer: "
